"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"19.53k";;;
2;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"15k";;;
3;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"200k";;;
4;"Buck/Boost1";"DFN-12-1EP_3x4mm_P0.5mm_EP1.7x3.3mm";1;"LTC3442";;;
5;"C1";"CP_Radial_D4.0mm_P1.50mm";1;"0.001u";;;
6;"C2";"CP_Radial_D4.0mm_P1.50mm";1;"10u";;;
7;"C3";"CP_Radial_D4.0mm_P1.50mm";1;"470p";;;
8;"C4";"CP_Radial_D4.0mm_P1.50mm";1;"0.01u";;;
9;"C5";"CP_Radial_D4.0mm_P1.50mm";1;"220p";;;
10;"C6";"CP_Radial_D4.0mm_P1.50mm";1;"22u";;;
11;"D1";"D_DO-15_P2.54mm_Vertical_AnodeUp";1;"DIODE";;;
12;"D2,D3";"D_A-405_P2.54mm_Vertical_AnodeUp";2;"DIODE";;;
13;"H1,H2,H3,H4";"MountingHole_2.7mm";4;"MountingHole";;;
14;"J1";"PinHeader_2x20_P2.00mm_Vertical";1;"Conn_02x20_Odd_Even";;;
15;"L1";"L_Axial_L5.3mm_D2.2mm_P2.54mm_Vertical_Vishay_IM-1";1;"4.7u";;;
16;"LED1,LED2,LED3";"LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm";3;"LED";;;
17;"OP1,OP2,OP3";"TO-5-8";3;"OP07";;;
18;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"1M";;;
19;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"71.5k";;;
20;"R3,R8,R10,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";4;"1k";;;
21;"R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"340k";;;
22;"R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"135k";;;
23;"R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"2.2k";;;
24;"R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"24.2k";;;
25;"R12,R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"10k";;;
26;"R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"1k";;;
27;"R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"21.71k";;;
28;"R18";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"10k";;;
29;"TMP1";"SHT1x";1;"LM135";;;
