"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"LED3,LED1,LED2";"LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm";3;"LED";;;
2;"C3";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"470p";;;
3;"L1";"Choke_Schaffner_RN116-04-22.5x21.5mm";1;"4.7u";;;
4;"Buck/Boost1";"DFN-12-1EP_3x4mm_P0.5mm_EP1.7x3.3mm";1;"LTC3442";;;
5;"C1";"CP_Axial_L10.0mm_D6.0mm_P15.00mm_Horizontal";1;"0.001u";;;
6;"C2";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"10u";;;
7;"C4";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"0.01u";;;
8;"C5";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"220p";;;
9;"C6";"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal";1;"22u";;;
10;"D1,D2,D3";"D_5KP_P7.62mm_Vertical_AnodeUp";3;"DIODE";;;
11;"OP1,OP2,OP3";"TO-5-8";3;"OP07";;;
12;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"1M";;;
13;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"71.5k";;;
14;"R3,R8,R10,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";4;"1k";;;
15;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"200k";;;
16;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"15k";;;
17;"R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"340k";;;
18;"R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"135k";;;
19;"R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"2.2k";;;
20;"R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"24.2k";;;
21;"R12,R15";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"10k";;;
22;"R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"1k";;;
23;"R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"21.71k";;;
24;"R17";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"19.53k";;;
25;"R18";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"10k";;;
26;"TMP1";"SHT1x";1;"LM135";;;
